,requestId,submissionId,status,matchDescription,primary.gender,primary.maritalStatus,primary.memberCode,primary.parsedAddress.addressLine1,primary.parsedAddress.city,primary.parsedAddress.state,primary.parsedAddress.zipCode,primary.parsedAddress.addressType,primary.homeOwnerStatus,primary.lengthOfResidence,primary.numberOfGenerations,primary.presenceOf16Or17YearOlds,primary.babyBoomer,primary.dualIncomeNoKids,primary.millennial,primary.vehicleHouseholdNum,drivers,vehicles,vehiclesEnhanced,requestBody.person.middleName,requestBody.person.lastName,requestBody.person.firstName,requestBody.person.dateOfBirth,requestBody.address.city,requestBody.address.state,requestBody.address.addressLine1,requestBody.address.zipCode,requestBody.otherAddresses,requestBody.standardizeAddress
0,7b9c09ec-327f-4ca5-b12e-a1fe04b85570,heimdal_test_AutoPrefill_service-000000,Success,Artificial match,Female,Married,Primary Household Member,63724 RAMSEY WAY,DALLAS,TX,75246,Street Address,Definite Owner,11-15 yrs,1,False,True,False,False,1,"[{'firstName': 'JENNY', 'middleName': 'P', 'lastName': 'EVERYWHERE', 'dateOfBirth': '11/10/1962', 'age': 58, 'gender': 'Female', 'maritalStatus': 'Married', 'memberCode': 'Primary Household Member', 'verificationDate': '02/15/2020'}, {'firstName': 'HUGO', 'middleName': 'J', 'lastName': 'DANNER', 'dateOfBirth': '11/12/1964', 'age': 55, 'gender': 'Male', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '11/15/2018'}]","[{'confidence': 50, 'description': '2014 ACURA ILX', 'year': '2014', 'make': 'ACURA', 'model': 'ILX', 'type': 'Sedan', 'fuelType': 'Gas', 'mileage': '0 - 10,000', 'marketValue': None}, {'confidence': 80, 'description': '2004 ACURA TL', 'year': '2004', 'make': 'ACURA', 'model': 'TL', 'type': 'Sedan', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}]",[],, Everywhere,Jenny, 11/10/1962, Dallas, TX, 63724 Ramsey Way,75246,[],False
1,efaadf2e-4a4b-4327-8b7f-5336eb5743e4,heimdal_test_AutoPrefill_service-000001,Success,Artificial match,Male,Single,Primary Household Member,63724 RAMSEY WAY,DALLAS,TX,75246,Street Address,Probable Owner,11-15 yrs,1,False,True,False,False,0,"[{'firstName': 'HUGO', 'middleName': 'J', 'lastName': 'DANNER', 'dateOfBirth': '11/12/1964', 'age': 56, 'gender': 'Male', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '11/15/2018'}, {'firstName': 'JENNY', 'middleName': 'P', 'lastName': 'EVERYWHERE', 'dateOfBirth': '11/10/1962', 'age': 57, 'gender': 'Female', 'maritalStatus': 'Married', 'memberCode': 'Primary Household Member', 'verificationDate': '02/15/2020'}]",[],[],, Danner,Hugo, 11/12/1964, Dallas, TX, 63724 Ramsey Way,75246,[],False
2,25ce80ce-e543-47e4-ac8f-ccf0dbd430ac,heimdal_test_AutoPrefill_service-000002,Success,Artificial match,Female,Single,Primary Household Member,PO BOX 12112,VAIL,AZ,85641,PO Box,Definite Owner,20+ yrs,1,False,True,False,False,0,"[{'firstName': 'SIBILLA', 'middleName': 'R', 'lastName': 'WARDLEY', 'dateOfBirth': '09/01/1949', 'age': 71, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '07/15/2019'}]",[],[],, Wardley,Sibilla, 09/01/1949, Vail, AZ, PO BOX 12112,85641,[],False
3,cc4215b9-2cb1-48f2-879b-e29c5fb04912,heimdal_test_AutoPrefill_service-000003,Success,Artificial match,Male,Married,Primary Household Member,826 KILDEER HL,DAYTON,OH,45419,Street Address,Definite Owner,11-15 yrs,1,False,True,False,False,4,"[{'firstName': 'OGGIE', 'middleName': 'J', 'lastName': 'JARREL', 'dateOfBirth': '02/14/1951', 'age': 70, 'gender': 'Male', 'maritalStatus': 'Married', 'memberCode': 'Primary Household Member', 'verificationDate': '03/15/2020'}, {'firstName': 'WINNIE', 'middleName': 'L', 'lastName': 'JARREL', 'dateOfBirth': '03/27/1952', 'age': 68, 'gender': 'Female', 'maritalStatus': 'Married', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}, {'firstName': 'LILLY', 'middleName': None, 'lastName': 'MCLINTOCK', 'dateOfBirth': '03/04/1972', 'age': 48, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '05/15/2017'}]","[{'confidence': 90, 'description': '1994 FORD F 150', 'year': '1994', 'make': 'FORD', 'model': 'F 150', 'type': 'Unknown', 'fuelType': None, 'mileage': None, 'marketValue': None}, {'confidence': 70, 'description': '2017 MITSUBISHI OUTLANDER', 'year': '2017', 'make': 'MITSUBISHI', 'model': 'OUTLANDER', 'type': 'Utility', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}, {'confidence': 70, 'description': '2003 FORD F-250 SUPER DUTY', 'year': '2003', 'make': 'FORD', 'model': 'F-250 SUPER DUTY', 'type': 'Pickup', 'fuelType': 'Diesel', 'mileage': None, 'marketValue': None}, {'confidence': 70, 'description': '2003 FORD RANGER', 'year': '2003', 'make': 'FORD', 'model': 'RANGER', 'type': 'Pickup', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}, {'confidence': 10, 'description': '1991 FORD ESCORT', 'year': '1991', 'make': 'FORD', 'model': 'ESCORT', 'type': 'Hatchback', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}]",[],, Jarrel,Oggie, 02/14/1951, Dayton, OH, 826 Kildeer Hl,45419,[],False
4,01cd51cc-3039-4a49-9945-f220d5ca0e72,heimdal_test_AutoPrefill_service-000004,Success,Artificial match,Female,Married,Other Household Members,826 KILDEER HL,DAYTON,OH,45419,Street Address,Definite Owner,11-15 yrs,1,False,True,False,False,4,"[{'firstName': 'WINNIE', 'middleName': 'L', 'lastName': 'JARREL', 'dateOfBirth': '03/27/1952', 'age': 69, 'gender': 'Female', 'maritalStatus': 'Married', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}, {'firstName': 'OGGIE', 'middleName': 'J', 'lastName': 'JARREL', 'dateOfBirth': '02/14/1951', 'age': 69, 'gender': 'Male', 'maritalStatus': 'Married', 'memberCode': 'Primary Household Member', 'verificationDate': '03/15/2020'}, {'firstName': 'LILLY', 'middleName': None, 'lastName': 'MCLINTOCK', 'dateOfBirth': '03/04/1972', 'age': 48, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '05/15/2017'}]","[{'confidence': 90, 'description': '1994 FORD F 150', 'year': '1994', 'make': 'FORD', 'model': 'F 150', 'type': 'Unknown', 'fuelType': None, 'mileage': None, 'marketValue': None}, {'confidence': 70, 'description': '2017 MITSUBISHI OUTLANDER', 'year': '2017', 'make': 'MITSUBISHI', 'model': 'OUTLANDER', 'type': 'Utility', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}, {'confidence': 70, 'description': '2003 FORD F-250 SUPER DUTY', 'year': '2003', 'make': 'FORD', 'model': 'F-250 SUPER DUTY', 'type': 'Pickup', 'fuelType': 'Diesel', 'mileage': None, 'marketValue': None}, {'confidence': 70, 'description': '2003 FORD RANGER', 'year': '2003', 'make': 'FORD', 'model': 'RANGER', 'type': 'Pickup', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}, {'confidence': 10, 'description': '1991 FORD ESCORT', 'year': '1991', 'make': 'FORD', 'model': 'ESCORT', 'type': 'Hatchback', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}]",[],, Jarrel,Winnie, 03/27/1952, Dayton, OH, 826 Kildeer Hl,45419,[],False
5,09fd7fe6-e9ba-4501-a8dc-cbba947f7ec6,heimdal_test_AutoPrefill_service-000005,Success,Artificial match,Female,Single,Primary Household Member,826 KILDEER HL,DAYTON,OH,45419,Street Address,Probable Owner,16-20 yrs,1,False,False,False,False,0,"[{'firstName': 'LILLY', 'middleName': None, 'lastName': 'MCLINTOCK', 'dateOfBirth': '03/04/1972', 'age': 49, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '05/15/2017'}, {'firstName': 'OGGIE', 'middleName': 'J', 'lastName': 'JARREL', 'dateOfBirth': '02/14/1951', 'age': 69, 'gender': 'Male', 'maritalStatus': 'Married', 'memberCode': 'Primary Household Member', 'verificationDate': '03/15/2020'}, {'firstName': 'WINNIE', 'middleName': 'L', 'lastName': 'JARREL', 'dateOfBirth': '03/27/1952', 'age': 68, 'gender': 'Female', 'maritalStatus': 'Married', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}]",[],[],, McLintock,Lilly, 03/04/1972, Dayton, OH, 826 Kildeer Hl,45419,[],False
6,9eb1324f-84b2-40c3-a7c5-e52cdf1d2265,heimdal_test_AutoPrefill_service-000006,Success,Artificial match,Female,Single,Other Household Members,4 KEDZIE POINT,CHARLOTTE,NC,28242,Street Address,Definite Owner,6-10 yrs,1,False,False,False,False,1,"[{'firstName': 'FREIDA', 'middleName': 'T', 'lastName': 'MARCINKUS', 'dateOfBirth': '12/11/1997', 'age': 23, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}, {'firstName': 'RAIMUND', 'middleName': 'A', 'lastName': 'MARCINKUS', 'dateOfBirth': '09/30/1975', 'age': 44, 'gender': 'Male', 'maritalStatus': 'Married', 'memberCode': 'Primary Household Member', 'verificationDate': '12/15/2019'}, {'firstName': 'NICOLE', 'middleName': 'L', 'lastName': 'VELAZQUEZ', 'dateOfBirth': '06/11/1977', 'age': 42, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '12/15/2018'}, {'firstName': 'FRIDA', 'middleName': 'T', 'lastName': 'MARCINKUS', 'dateOfBirth': '09/02/1962', 'age': 58, 'gender': 'Female', 'maritalStatus': 'Married', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}]","[{'confidence': 70, 'description': '2016 AUDI A3', 'year': '2016', 'make': 'AUDI', 'model': 'A3', 'type': 'Sedan', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}, {'confidence': 40, 'description': '2011 HONDA PILOT', 'year': '2011', 'make': 'HONDA', 'model': 'PILOT', 'type': 'Utility', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}]",[],, Marcinkus,Freida, 12/11/1997, Charlotte, NC, 4 Kedzie Point,28242,[],False
7,351ce0fa-2ece-4631-9527-8303036bbd7f,heimdal_test_AutoPrefill_service-000007,Success,Artificial match,Male,Married,Primary Household Member,4 KEDZIE POINT,CHARLOTTE,NC,28242,Street Address,Definite Owner,6-10 yrs,1,False,False,False,False,1,"[{'firstName': 'RAIMUND', 'middleName': 'A', 'lastName': 'MARCINKUS', 'dateOfBirth': '09/30/1975', 'age': 45, 'gender': 'Male', 'maritalStatus': 'Married', 'memberCode': 'Primary Household Member', 'verificationDate': '12/15/2019'}, {'firstName': 'FREIDA', 'middleName': 'T', 'lastName': 'MARCINKUS', 'dateOfBirth': '12/11/1997', 'age': 22, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}, {'firstName': 'NICOLE', 'middleName': 'L', 'lastName': 'VELAZQUEZ', 'dateOfBirth': '06/11/1977', 'age': 42, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '12/15/2018'}, {'firstName': 'FRIDA', 'middleName': 'T', 'lastName': 'MARCINKUS', 'dateOfBirth': '09/02/1962', 'age': 58, 'gender': 'Female', 'maritalStatus': 'Married', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}]","[{'confidence': 70, 'description': '2016 AUDI A3', 'year': '2016', 'make': 'AUDI', 'model': 'A3', 'type': 'Sedan', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}, {'confidence': 40, 'description': '2011 HONDA PILOT', 'year': '2011', 'make': 'HONDA', 'model': 'PILOT', 'type': 'Utility', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}]",[],, Marcinkus,Raimund, 09/30/1975, Charlotte, NC, 4 Kedzie Point,28242,[],False
8,da799afc-d037-4487-a386-64d812bc00b6,heimdal_test_AutoPrefill_service-000008,Success,Artificial match,Female,Single,Primary Household Member,4 KEDZIE POINT,CHARLOTTE,NC,28242,Street Address,Probable Owner,6-10 yrs,2,False,False,False,False,1,"[{'firstName': 'NICOLE', 'middleName': 'L', 'lastName': 'VELAZQUEZ', 'dateOfBirth': '06/11/1977', 'age': 44, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '12/15/2018'}, {'firstName': 'FREIDA', 'middleName': 'T', 'lastName': 'MARCINKUS', 'dateOfBirth': '12/11/1997', 'age': 22, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}, {'firstName': 'RAIMUND', 'middleName': 'A', 'lastName': 'MARCINKUS', 'dateOfBirth': '09/30/1975', 'age': 44, 'gender': 'Male', 'maritalStatus': 'Married', 'memberCode': 'Primary Household Member', 'verificationDate': '12/15/2019'}, {'firstName': 'FRIDA', 'middleName': 'T', 'lastName': 'MARCINKUS', 'dateOfBirth': '09/02/1962', 'age': 58, 'gender': 'Female', 'maritalStatus': 'Married', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}]","[{'confidence': 80, 'description': '2016 AUDI A6', 'year': '2016', 'make': 'AUDI', 'model': 'A6', 'type': 'Sedan', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}]",[],, Velazquez,Nicole, 06/11/1977, Charlotte, NC, 4 Kedzie Point,28242,[],False
9,e868d268-d674-4298-bf7b-d5aa577fe6be,heimdal_test_AutoPrefill_service-000009,Success,Artificial match,Female,Married,Other Household Members,4 KEDZIE POINT,CHARLOTTE,NC,28242,Street Address,Definite Owner,6-10 yrs,1,False,False,False,False,1,"[{'firstName': 'FRIDA', 'middleName': 'T', 'lastName': 'MARCINKUS', 'dateOfBirth': '12/11/1999', 'age': 21, 'gender': 'Female', 'maritalStatus': 'Married', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}, {'firstName': 'FREIDA', 'middleName': 'T', 'lastName': 'MARCINKUS', 'dateOfBirth': '12/11/1997', 'age': 22, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Other Household Members', 'verificationDate': '02/15/2020'}, {'firstName': 'RAIMUND', 'middleName': 'A', 'lastName': 'MARCINKUS', 'dateOfBirth': '09/30/1975', 'age': 44, 'gender': 'Male', 'maritalStatus': 'Married', 'memberCode': 'Primary Household Member', 'verificationDate': '12/15/2019'}, {'firstName': 'NICOLE', 'middleName': 'L', 'lastName': 'VELAZQUEZ', 'dateOfBirth': '06/11/1977', 'age': 42, 'gender': 'Female', 'maritalStatus': 'Single', 'memberCode': 'Primary Household Member', 'verificationDate': '12/15/2018'}]","[{'confidence': 70, 'description': '2016 AUDI A3', 'year': '2016', 'make': 'AUDI', 'model': 'A3', 'type': 'Sedan', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}, {'confidence': 40, 'description': '2011 HONDA PILOT', 'year': '2011', 'make': 'HONDA', 'model': 'PILOT', 'type': 'Utility', 'fuelType': 'Gas', 'mileage': None, 'marketValue': None}]",[],, Marcinkus,Frida, 12/11/1999, Charlotte, NC, 4 Kedzie Point,28242,[],False
