,Unnamed: 0,requestId,submissionId,status,matchDescription,events,fenrisId,requestBody.person.dateOfBirth,requestBody.person.middleName,requestBody.person.firstName,requestBody.person.lastName,requestBody.address.city,requestBody.address.zipCode,requestBody.address.state,requestBody.address.addressLine1,requestBody.otherAddresses,requestBody.standardizeAddress,type,title,detail,path,message,event_names,NEWLY ENGAGED,NEWLY SINGLE,NEW BABY,NEWLY MARRIED,PRENATAL,PREMOVER AT CONTRACT,PREMOVER AT LIST,NEW MOVER
0,0,e76d8cbd-08f9-40d9-bdc4-1aa42d8b2264,heimdal_test_LifeEvents_service-000000,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY ENGAGED"", ""eventDate"": ""2021-06"", ""processDate"": ""2021-06-10""}]",ID3HoICovpKVaxCLgRMAfpyriySf+wLYAVcUdbZZGvg=, 11/10/1962,,Jenny, Everywhere, Dallas,75246, TX, 63724 Ramsey Way,[],False,,,,,,['NEWLY ENGAGED'],True,False,False,False,False,False,False,False
1,1,4a813f19-1c3d-4958-a56b-62658ff83db1,heimdal_test_LifeEvents_service-000001,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY ENGAGED"", ""eventDate"": ""2021-06"", ""processDate"": ""2021-06-10""}]",cYc1jTu7LVjd2iB58wa6wjTjeEOtnRUWPzyy5GxLJDw=, 11/12/1964,,Hugo, Danner, Dallas,75246, TX, 63724 Ramsey Way,[],False,,,,,,['NEWLY ENGAGED'],True,False,False,False,False,False,False,False
2,2,c6a8ccaa-9e57-4b81-934a-4d27c9c760f7,heimdal_test_LifeEvents_service-000002,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY SINGLE"", ""eventDate"": ""2021-06"", ""processDate"": ""2021-06-09""}]",KKi5DWdrF8mDjlFixw7xnGWC90wCdeedPQ6Fp584dSM=, 09/01/1949,,Sibilla, Wardley, Vail,85641, AZ, PO BOX 12112,[],False,,,,,,['NEWLY SINGLE'],False,True,False,False,False,False,False,False
3,3,611bf082-6eef-4868-ab20-2f807e4b5d1a,heimdal_test_LifeEvents_service-000003,NO EVENTS FOUND,Artificial match,[],ZuV7gWJ0LWG50ZJJP3b44WN53t8Ux4nkv/XKHxJ70o0=, 02/14/1951,,Oggie, Jarrel, Dayton,45419, OH, 826 Kildeer Hl,[],False,,,,,,[],False,False,False,False,False,False,False,False
4,4,f6e65afb-137d-4a7c-b735-d51ce82cf0c3,heimdal_test_LifeEvents_service-000004,NO EVENTS FOUND,Artificial match,[],xmooyoBMwsytNykVlvGhJUBcf2o3vIS7DazPJDW9Jmk=, 03/27/1952,,Winnie, Jarrel, Dayton,45419, OH, 826 Kildeer Hl,[],False,,,,,,[],False,False,False,False,False,False,False,False
5,5,bff27a16-a125-4e25-8283-961a9a066091,heimdal_test_LifeEvents_service-000005,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY SINGLE"", ""eventDate"": ""2021-06"", ""processDate"": ""2021-06-03""}]",IsVK8bxU7bVwtm7bzVO2QUySYWvnruYjvO/XPYFkFWc=, 03/04/1972,,Lilly, McLintock, Dayton,45419, OH, 826 Kildeer Hl,[],False,,,,,,['NEWLY SINGLE'],False,True,False,False,False,False,False,False
6,6,50c4f727-c95d-45b0-926b-0f1a292a3ebf,heimdal_test_LifeEvents_service-000006,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY ENGAGED"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-06-02""}]",f4o9CTqC5v9sXkBj7STiGTR7IBt0btGRHPUazfSq9LU=, 12/11/1997,,Freida, Marcinkus, Charlotte,28242, NC, 4 Kedzie Point,[],False,,,,,,['NEWLY ENGAGED'],True,False,False,False,False,False,False,False
7,7,810ebb3c-4ed2-4511-88a2-a3397e200471,heimdal_test_LifeEvents_service-000007,NO EVENTS FOUND,Artificial match,[],3LRG46THeNqayD+bXOUMpHrGMYjleCCN0Ky1Z0FPXdg=, 09/30/1975,,Raimund, Marcinkus, Charlotte,28242, NC, 4 Kedzie Point,[],False,,,,,,[],False,False,False,False,False,False,False,False
8,8,,,500,,,, 06/11/1977,,Nicole, Velazquez, Charlotte,28242, NC, 4 Kedzie Point,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210529"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
9,9,5d62e54e-840e-472b-a9da-5fff208e6bdf,heimdal_test_LifeEvents_service-000009,SUCCESS,Artificial match,"[{""eventType"": ""NEW BABY"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-04-17""}, {""eventType"": ""NEWLY MARRIED"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-29""}, {""eventType"": ""PRENATAL"", ""eventDate"": ""2021-05"", ""processDate"": ""2020-10-01""}]",jmLCQIvxqwGmYhghr0u28ARNZvjadFwkAkR+u6zL/5k=, 12/11/1999,,Frida, Marcinkus, Charlotte,28242, NC, 4 Kedzie Point,[],False,,,,,,"['NEW BABY', 'NEWLY MARRIED', 'PRENATAL']",False,False,True,True,True,False,False,False
10,10,6b9a1889-3e74-4c68-be7e-5f4b857215cd,heimdal_test_LifeEvents_service-000010,NO EVENTS FOUND,Artificial match,[],eCNG4GCqYZzNfhEt0iSiT3z46un0vCDaZ7gwm2qYUPE=, 03/06/1980,,Loralie, Huard, Pasadena,91125, CA, 86 Londonderry Terrace,[],False,,,,,,[],False,False,False,False,False,False,False,False
11,11,65213e44-cac3-4ef9-a087-5f21a1bcbb91,heimdal_test_LifeEvents_service-000011,SUCCESS,Artificial match,"[{""eventType"": ""PRENATAL"", ""eventDate"": ""2022-02"", ""processDate"": ""2021-07-01""}]",4UEvKZLYe6MyMu17ONZ2pV+PiCFj5Hfiees1yEYlOCk=, 07/04/1985,,Yajee, Huard, Pasadena,91125, CA, 86 Londonderry Terrace,[],False,,,,,,['PRENATAL'],False,False,False,False,True,False,False,False
12,12,92c6ead2-04b0-4594-92b1-4e9e28b8dc78,heimdal_test_LifeEvents_service-000012,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY MARRIED"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-27""}]",Oa31u3qJd1CI1vQdxhWb2E9m9UtGeimGyc/NPEoPXDc=, 09/01/1937,,Mohammed, Huard, Pasadena,91125, CA, 86 Londonderry Terrace,[],False,,,,,,['NEWLY MARRIED'],False,False,False,True,False,False,False,False
13,13,eee1dbae-5778-458f-a711-73b9f377952a,heimdal_test_LifeEvents_service-000013,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY MARRIED"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-26""}]",MioibVsAGbTJAXs72FqCenUyXvegIRrNHOLVMTM6Bx4=, 02/01/1977,,Teressa, Huard, Pasadena,91125, CA, 86 Londonderry Terrace,[],False,,,,,,['NEWLY MARRIED'],False,False,False,True,False,False,False,False
14,14,83e269f0-223d-4d86-8d10-926b49111ac8,heimdal_test_LifeEvents_service-000014,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY ENGAGED"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-25""}]",GoLdPHPfJ6eYx9YgybXqwXao6AeOWYwsmiCxnDGYcvo=, 09/07/1967,,June, Huard, Pasadena,91125, CA, 86 Londonderry Terrace,[],False,,,,,,['NEWLY ENGAGED'],True,False,False,False,False,False,False,False
15,15,4db9e411-ad2d-485e-afbf-513deb201f3d,heimdal_test_LifeEvents_service-000015,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY SINGLE"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-24""}]",i25l20ba6lzcdZNA6v3idRRz/n8sxY0Y4bIvOiIpZKA=, 06/01/1975,,Barton, Crumbie, Fort Worth,76147, TX, 6263 Charing Cross Ct,[],False,,,,,,['NEWLY SINGLE'],False,True,False,False,False,False,False,False
16,16,041c32a6-9131-4108-9de2-fbf8c5556f77,heimdal_test_LifeEvents_service-000016,NO EVENTS FOUND,Artificial match,[],6rUNpJjJkhsB8a1ziOaE9kFVR20IKnTovpfORqv6rwA=, 11/26/1981,,Maudie, Papaminas, Pittsburgh,15235, PA, 956 Oakridge Circle,[],False,,,,,,[],False,False,False,False,False,False,False,False
17,17,6108bbcd-b4fd-4366-9419-6e74a6c91ae1,heimdal_test_LifeEvents_service-000017,NO EVENTS FOUND,Artificial match,[],0yJnpnerFL9N3ZaGD4pBZx8T27RrxXZmgex3R9iGxjA=, 02/21/1990,,Juliann, Oulner, Miami,33124, FL, 98301 Farmco Drive,[],False,,,,,,[],False,False,False,False,False,False,False,False
18,18,843ef9b1-5bc5-44e7-a35b-db056099774b,heimdal_test_LifeEvents_service-000018,NO EVENTS FOUND,Artificial match,[],oA0zzwyNLhRbdBaemgDLQ5Iz4Sg0AgjpV0jJFU2NKY8=, 06/01/1985,,Guy, Kleinert, Denver,80279, CO, 9 Bartelt Parkway,[],False,,,,,,[],False,False,False,False,False,False,False,False
19,19,7e42d04e-093f-4386-aff4-6fac5679b4db,heimdal_test_LifeEvents_service-000019,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY MARRIED"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-18""}]",o0hT/USp93ETKSczAo2E30huG9Q732qwWM2Lsffyx7w=, 10/01/1985,,Tina, Chantrell, Port Washington,11054, NY, PO BOX 72059,[],False,,,,,,['NEWLY MARRIED'],False,False,False,True,False,False,False,False
20,20,7f9035f6-16d9-40cf-9af6-febbaefb9bb0,heimdal_test_LifeEvents_service-000020,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY MARRIED"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-17""}]",PDZl6zF+YNLohb1qo+xXxYeDRYKh0J/IFai5SB8YjKE=, 04/02/1984,,Augustine, Chantrell, Port Washington,11054, NY, PO BOX 72059,[],False,,,,,,['NEWLY MARRIED'],False,False,False,True,False,False,False,False
21,21,d4ba4f5c-ec51-479e-a305-e85487073101,heimdal_test_LifeEvents_service-000021,NO EVENTS FOUND,Artificial match,[],aCJDAXbI6jqY1qKJ4mZ0RoTDvmCVnRqwULDEr0OIPNw=, 06/04/1960,,Edward, Thomke, Rochester,14624, NY, 0722 Waubesa Trl,[],False,,,,,,[],False,False,False,False,False,False,False,False
22,22,1268d350-f7f8-489a-a6d2-aa6e0080f635,heimdal_test_LifeEvents_service-000022,NO EVENTS FOUND,Artificial match,[],Qfjp1ilMkvBXJfkQ7VqbgsY9gT5LjSjHNJphKFcY/Bc=, 12/09/1962,,Elna, Thomke, Rochester,14624, NY, 0722 Waubesa Trail,[],False,,,,,,[],False,False,False,False,False,False,False,False
23,23,,,500,,,, 09/09/1976,,Red, Renachowski, Virginia Beach,23454, VA, 77 Chinook Pt,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210510"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
24,24,,,500,,,, 02/07/1986,,Rubi, Renachowski, Virginia Beach,23454, VA, 77 Chinook Pt,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210510"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
25,25,4565b681-f39a-49dc-bad6-18ee7932178d,heimdal_test_LifeEvents_service-000025,SUCCESS,Artificial match,"[{""eventType"": ""NEWLY SINGLE"", ""eventDate"": ""2021-05"", ""processDate"": ""2021-05-09""}]",QgQxJlnolpW+aUXK6UKcDBQB9fPOJJ2QDOUFIMzu1CE=, 07/03/1963,,Robert, Smith, Longmont,80503, CO, 380 Morrow Terrace,[],False,,,,,,['NEWLY SINGLE'],False,True,False,False,False,False,False,False
26,26,,,500,,,, 09/09/1960,,Chris, Autterson, Austin,73301, TX, 1295 Betty Lane,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210504"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
27,27,,,500,,,, 08/24/1968,,Sheri, Autterson, Austin,73301, TX, 1295 Betty Lane,[],False,https://www.jhipster.tech/problem/problem-with-message,Internal Server Error,"Text """"20210504"""" could not be parsed at index 0",/v1/events/search,error.http.500,[],False,False,False,False,False,False,False,False
