,requestId,submissionId,status,modelVersion,trend,matchDescription,score,sequenceId,addressUsed,message,censusInfo,decile,insuranceTier,financeTier,creditLevel,first_name,middle_name,last_name,date_of_birth,other_addresses,address_line1,city,state,zip_code
0,c39a0c24-b500-45eb-9536-d8cc5b8d6def,pfr-header-test-000000,Success,2.1,Improving,Artificial match,650,ID3HoICovpKVaxCLgRMAfpyriySf+wLYAVcUdbZZGvg=,0,P|1|4|48|75246|1234|493|C095|013|EVERYWHERE|63724|||RAMSEY|WAY|||||DALLAS|TX|0|1|202002|4|S|1|S|1|S|1|S|6|S|C|H|X|4|H|5|S|2|H||0|H||||2||||||||||1|14|05|1100EC63030E0C005846AB|4|2|JENNY|P|1|S|1|202002|057|S|057|S|S|19621110|2|1|40.17304993|-105.07704926|1|||||||||||||Y|||||||||||C3|0560S|128|9|A1|A1|A1|A1|T||A|C||0000|0431|200610|0322|0258|0125|0258|0125|200610|0647|F|C|0|201107|1|113|G|1999|A|12|14|0255|4|07|||||||||||||N||I|202005|I|N||N||N||N||N||N||C|I|201712|N||I|202001|A1|||||||||||||||||||||||||||||||||||||||||||||||||||||||Y||||||||||||||||||||||||||||||||||||||008550|001600|||||2||2|09|06|||||201312|201506|||||G|G|||||201608|201910|||||ACURA|ACURA|||||H|H|||||A||||||ILX|TL|||||1|1|0|0|0|0|22|22|||||2014|2004|||||1481130016002034,,4,Non-standard,Near Prime,Good,Jenny,J, Everywhere, 11/10/1962,, 63724 Ramsey Way, Dallas, TX,75246
1,1f154e56-80dd-4dfb-ba5b-c357e34350a3,pfr-header-test-000001,Success,2.1,Improving,Artificial match,650,cYc1jTu7LVjd2iB58wa6wjTjeEOtnRUWPzyy5GxLJDw=,0,S||4|48|75246|1234|493|C095|013|DANNER|63724|||RAMSEY|WAY|||||DALLAS|TX|0|1|201811|3|H|1|S|2|S|1|S|6|S|9|H|P|4|H|5|S|1|S||0|H||||1||||||||||1|12|00|1100EC63030E0C005846AC|1|1|HUGO|J|2|S|1|201811|055|S|055|S|S|19641112|0|1|40.17304993|-105.07704926|1|||||||||||||Y|||||||||||R1|0458H|83|8|C1|C2|C1|B2||||||||||||||||||0||0|||||11|11||1|06|||||||||||||N|||||N||N||N||N||N||N||E|I|202001|N||D|202005|C1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||1481130016002034,,4,Non-standard,Near Prime,Good,Hugo,H, Danner, 11/12/1964,, 63724 Ramsey Way, Dallas, TX,75246
2,d0a8b5c7-b805-4e6b-b49a-f0afcaae22ae,pfr-header-test-000002,Success,2.1,Mixed,Artificial match,523,KKi5DWdrF8mDjlFixw7xnGWC90wCdeedPQ6Fp584dSM=,0,P|1|4|04|85641|0112|129|B001|019|WARDLEY||||||||PO BOX 12112||VAIL|AZ|0|3|201907|4|S|1|S|2|S|0|S|8|S|5|H|6|3|H|6|S|1|S||0|H|||2|||||||||||1|14|00|04014E89030E0C00485222|3|2|SIBILLA|R|2|S|1|201907|070|S|070|S|I|19490901|0|3|32.10190964|-110.66546631|5|||||||||||||Y|||||||||||Z2|0227H|53|6|A2|C2|B2|B1||||||||||||||||||0||0|||||07|08|0016|1|04|||||||||||||N|||||N||N||N||N||N||N||X|D|201710|N||D|201904|A2||||||||||Y|||||||Y|||||||||||||Y||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||5040190040611184,,2,Non-standard,Deep subprime,Fair,Sibilla,S, Wardley, 09/01/1949,, PO BOX 12112, Vail, AZ,85641
3,a9dca41e-df79-4edf-b157-f8f19e60588b,pfr-header-test-000003,Success,2.1,Mixed,Artificial match,523,ZuV7gWJ0LWG50ZJJP3b44WN53t8Ux4nkv/XKHxJ70o0=,0,P|1|4|55|45419|7417|143|R003|095|JARREL|826|||KILDEER|HL|||||DAYTON|OH|0|1|202003|4|S|2|S|1|S|1|S|6|S|6|S|A|4|H|6|S|2|S||0|H|||3|||||||||||1|02|10|3700D308030E0C0040B818|1|1|OGGIE|J|1|S|1|202003|069|S|069|S|S|19510214|2|1|45.44128799|-92.49497986|0|||||||||||||Y|||||||||||N1|0248S|90|7|A1|A2|A1|A1|||||||0191|200808|0165|||||||||0||0||Z||E|11|09|0044|1|07|||||||||||||N|||||N||N||N||N||N||N||I|D|201910|N||I|202005|A1|||Y|||||||Y|||||||Y||Y||Y|Y||||Y|Y||Y||Y|||Y|Y|||||||Y|Y|||||Y|||||Y||Y||Y|Y|Y|||||Y||||||||Y|||||||||||||Y|||||FORD|F 150|1994|011850|005230|003430||||1|3|4|11|03|10|09|||201711|201808|201807|200210|||G|D|G|G|||201905|201808|201807|201212|||MITSUBISHI|FORD|FORD|FORD|||L|F|F|F|||||||||OUTLANDER|F-250 SUPER DUTY|RANGER|ESCORT|||2|2|2|2|0|0|18|14|14|21|||2017|2003|2003|1991|||0391130102002011,,2,Non-standard,Deep subprime,Fair,Oggie,O, Jarrel, 02/14/1951,, 826 Kildeer Hl, Dayton, OH,45419
4,660fee51-eb91-48fc-9215-ed491d420078,pfr-header-test-000004,Success,2.1,Mixed,Artificial match,523,xmooyoBMwsytNykVlvGhJUBcf2o3vIS7DazPJDW9Jmk=,0,P|1|4|55|45419|7417|143|R003|095|JARREL|826|||KILDEER|HL|||||DAYTON|OH|0|1|202003|4|S|2|S|1|S|1|S|6|S|6|S|A|4|H|6|S|2|S||0|H|||3|||||||||||1|02|10|3700D308030E0C0040B81A|4|2|WINNIE|L|1|S|3|202002|068|S|068|S|S|19520327|2|1|45.44128799|-92.49497986|0|||||||||||||Y|||||||||||N1|0248S|90|7|A1|A2|A1|A1|||||||0191|200808|0165|||||||||0||0||Z||E|11|09|0044|1|07|||||||||||||N|||||N||N||N||N||N||N||I|D|201910|N||I|202005|A1|||Y|||||||Y|||||||Y||Y||Y|Y||||Y|Y||Y||Y|||Y|Y|||||||Y|Y|||||Y|||||Y||Y||Y|Y|Y|||||Y||||||||Y|||||||||||||Y|||||FORD|F 150|1994|011850|005230|003430||||1|3|4|11|03|10|09|||201711|201808|201807|200210|||G|D|G|G|||201905|201808|201807|201212|||MITSUBISHI|FORD|FORD|FORD|||L|F|F|F|||||||||OUTLANDER|F-250 SUPER DUTY|RANGER|ESCORT|||2|2|2|2|0|0|18|14|14|21|||2017|2003|2003|1991|||0391130102002011,,2,Non-standard,Deep subprime,Fair,Winnie,W, Jarrel, 03/27/1952,, 826 Kildeer Hl, Dayton, OH,45419
5,2eb1fe52-afef-48e6-b88f-885a5fbec1b5,pfr-header-test-000005,Success,2.1,Mixed,Artificial match,523,IsVK8bxU7bVwtm7bzVO2QUySYWvnruYjvO/XPYFkFWc=,0,S||4|55|45419|7417|143|R003|095|MCLINTOCK|826|||KILDEER|HL|||||DAYTON|OH|0|1|201705|3|H|1|S|2|S|1|S|7|S|8|H|J|3|H|4|S|1|S||0|H|||||2|||||||||1|14|00|3700D645030E0C00624EA2|3|2|LILLY||2|S|1|201705|048|S|048|S|S|19720304|1|6|45.44128799|-92.49497986|0||||||||||||||||Y||||||||J3|0234H|154|6|C1|C1|C1|C2||||||||||||||||||0||0|||||07|07||6|04|||||||||||||N|||||N||N||N||N||N||N||L|I|201803|N||I|202005|C1||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0391130102002011,,2,Non-standard,Deep subprime,Fair,Lilly,L, McLintock, 03/04/1972,, 826 Kildeer Hl, Dayton, OH,45419
6,34621226-a822-4480-80c7-4938185288f6,pfr-header-test-000006,Success,2.1,Mixed,Artificial match,840,f4o9CTqC5v9sXkBj7STiGTR7IBt0btGRHPUazfSq9LU=,0,P|1|4|37|28242|6912|276|R003|119|MARCINKUS|4|||KEDZIE POINT||||||CHARLOTTE|NC|0|1|202002|4|S|4|H|1|S|1|S|5|S|C|H|Y|4|H|3|S|3|S||1|H|3|||||1||||||||1|02|00|25006E7603132000B39FD8|4|2|FREIDA|T|2|S|3|202002|022|S|022|S|S|19971211|0|1|35.14764023|-80.99816895|0||||||||||||||||Y||||||||B1|0383S|236|0|B2|A2|B1|A2|A|G|H|||0031|0295|201502|0259|0233||0233||201502|||F|0||0|88|H|2014|A|09|12|0227|1|06|||||||||||||N||I|202005|F|N||N||Y|202002|Y|202002|N||N|||||N||I|202002|B2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||011850|009280|||||1|1|2|09|11|||||201702|201405|||||G|G|||||201902|201605|||||AUDI|HONDA|||||H|L|||||||||||A3|PILOT|||||1|1|0|0|0|0|22|18|||||2016|2011|||||0371190001001017,,9,Preferred,Super Prime,Exceptional,Freida,F, Marcinkus, 12/11/1997,, 4 Kedzie Point, Charlotte, NC,28242
7,fc312023-9bd1-4905-85ff-43bfe74697f6,pfr-header-test-000007,Success,2.1,Mixed,Artificial match,840,3LRG46THeNqayD+bXOUMpHrGMYjleCCN0Ky1Z0FPXdg=,0,P|1|4|37|28242|6912|276|R003|119|MARCINKUS|4|||KEDZIE POINT||||||CHARLOTTE|NC|0|1|202002|4|S|4|H|1|S|1|S|5|S|C|H|Y|4|H|3|S|3|S||1|H|3|||||1||||||||1|02|00|24002C69030E0C006F8C0A|1|1|RAIMUND|A|1|S|1|201912|044|S|044|S|S|19750930|0|1|35.14764023|-80.99816895|0||||||||||||||||Y||||||||B1|0383S|236|0|B2|A2|B1|A2|A|G|H|||0031|0295|201502|0259|0233||0233||201502|||F|0||0|88|H|2014|A|09|12|0227|1|06|||||||||||||N||I|202005|F|N||N||Y|202002|Y|202002|N||N|||||N||I|202002|B2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||011850|009280|||||1|1|2|09|11|||||201702|201405|||||G|G|||||201902|201605|||||AUDI|HONDA|||||H|L|||||||||||A3|PILOT|||||1|1|0|0|0|0|22|18|||||2016|2011|||||0371190001001017,,9,Preferred,Super Prime,Exceptional,Raimund,R, Marcinkus, 09/30/1975,, 4 Kedzie Point, Charlotte, NC,28242
8,b89fc1ef-88e3-42f6-8d98-28a30c60f3ec,pfr-header-test-000008,Success,2.1,Mixed,Artificial match,840,yAhGu80Ha3PlBwtoatGR4qgy9+/VBzRK5KIWhWy4gWY=,0,S||4|37|28242|6912|276|R003|119|VELAZQUEZ|4|||KEDZIE POINT||||||CHARLOTTE|NC|0|1|201812|3|H|2|S|2|H|1|S|5|S|B|H|W|4|H|3|S|1|S|1|1|S||||||2||||4||||2|13|00|24002C69030F9C0004520B|3|2|NICOLE|L|2|H|1|201812|042|S|042|S|S|19770611|3|4|35.14764023|-80.99816895|0|201510|S|0|||||||||||||||||||||C2|0365H|189|0|C2|B2|B2|B2||||||||||||||||||0||0|||||08|08||1|05|||||||||||||N|||||Y|201603|N||N||N||N||N||B|I|202001|N||I|202005|C2|N||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||016600||||||1||1|06||||||201910||||||G||||||201910||||||AUDI||||||H||||||||||||A6||||||1|0|0|0|0|0|22||||||2016||||||0371190001001017,,9,Preferred,Super Prime,Exceptional,Nicole,N, Velazquez, 06/11/1977,, 4 Kedzie Point, Charlotte, NC,28242
9,6e5bbf17-2db5-4293-b6f3-d61408f1d26d,pfr-header-test-000009,Success,2.1,Mixed,Artificial match,840,jmLCQIvxqwGmYhghr0u28ARNZvjadFwkAkR+u6zL/5k=,0,P|1|4|37|28242|6912|276|R003|119|MARCINKUS|4|||KEDZIE POINT||||||CHARLOTTE|NC|0|1|202002|4|S|4|H|1|S|1|S|5|S|C|H|Y|4|H|3|S|3|S||1|H|3|||||1||||||||1|02|00|25006E7603132000B39FD8|4|2|FRIDA|T|1|S|3|202002|058|S|058|S|S|19620902|0|1|35.14764023|-80.99816895|0||||||||||||||||Y||||||||B1|0383S|236|0|B2|A2|B1|A2|A|G|H|||0031|0295|201502|0259|0233||0233||201502|||F|0||0|88|H|2014|A|09|12|0227|1|06|||||||||||||N||I|202005|F|N||N||Y|202002|Y|202002|N||N|||||N||I|202002|B2|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||011850|009280|||||1|1|2|09|11|||||201702|201405|||||G|G|||||201902|201605|||||AUDI|HONDA|||||H|L|||||||||||A3|PILOT|||||1|1|0|0|0|0|22|18|||||2016|2011|||||0371190001001017,,9,Preferred,Super Prime,Exceptional,Frida,F, Marcinkus, 12/11/1999,, 4 Kedzie Point, Charlotte, NC,28242
